"word","time"
"","1680564307899300"
"you","1680564309929600"
"enter","1680564311953600"
"a","1680564313973500"
"room,","1680564315987000"
"smile","1680564318010900"
"and","1680564320043000"
"say","1680564322073400"
"hello.","1680564324097700"
"","1680564326115100"
"The","1680564328137900"
"river","1680564330170000"
"flows","1680564332194000"
"so","1680564334213900"
"liside.","1680564336227300"
"","1680564338247300"
"I","1680564340257800"
"have","1680564342279200"
"lived","1680564344297500"
"in","1680564346322100"
"many","1680564348345900"
"countries","1680564350377900"
"in","1680564352409900"
"my","1680564354441900"
"clood.","1680564356473900"
"","1680564358505800"
"He","1680564360537900"
"told","1680564362563800"
"us","1680564364580300"
"jokes","1680564366590000"
"all","1680564368613900"
"night","1680564370633900"
"irourn.","1680564372657700"
"","1680564374680200"
"The","1680564376714000"
"sun","1680564378745700"
"shines","1680564380771700"
"every","1680564382786100"
"day","1680564384809600"
"in","1680564386842000"
"the","1680564388873800"
"invation.","1680564390905900"
"","1680564392938000"
"I","1680564394963800"
"was","1680564396980400"
"greatly","1680564398996200"
"puzzled","1680564401013900"
"to","1680564403033900"
"know","1680564405057800"
"what","1680564407080300"
"he","1680564409114000"
"was","1680564411145900"
"doing.","1680564413177800"
"","1680564415206000"
"This","1680564417226000"
"dinner","1680564419256700"
"is","1680564421280300"
"so","1680564423304700"
"delicious","1680564425338000"
"I","1680564427362700"
"can't","1680564429382200"
"stop","1680564431391900"
"eating.","1680564433414100"
"","1680564435426500"
"The","1680564437446600"
"camping","1680564439460900"
"trip","1680564441480300"
"was","1680564443512800"
"so","1680564445544600"
"afrode.","1680564447568800"
"","1680564449590600"
"I","1680564451606700"
"don’t","1680564453625000"
"think","1680564455646900"
"you","1680564457664700"
"did","1680564459682700"
"a","1680564461704900"
"good","1680564463728800"
"enough","1680564465746900"
"work.","1680564467768800"
"","1680564469792500"
"My","1680564471814300"
"mom","1680564473828600"
"is","1680564475846900"
"calling","1680564477880400"
"me","1680564479912800"
"for","1680564481936900"
"bestion.","1680564483960600"
"","1680564485990500"
"He","1680564488008900"
"is","1680564490040600"
"my","1680564492072800"
"elder","1680564494099100"
"priely.","1680564496113400"
"","1680564498135400"
"The","1680564500162700"
"lion","1680564502180700"
"roar","1680564504200600"
"scared","1680564506232900"
"a","1680564508257200"
"lot","1680564510280800"
"of","1680564512312900"
"agendolf.","1680564514342800"
"","1680564516376800"
"My","1680564518401000"
"plane","1680564520423400"
"took","1680564522447000"
"off","1680564524472800"
"at","1680564526503500"
"appost.","1680564528535200"
"","1680564530547000"
"Go","1680564532557500"
"and","1680564534580800"
"grab","1680564536591000"
"some","1680564538613500"
"wastion.","1680564540627500"
"","1680564542646900"
"He","1680564544655700"
"returns","1680564546677300"
"every","1680564548695800"
"summer","1680564550727000"
"to","1680564552751300"
"visit","1680564554775700"
"his","1680564556801100"
"family.","1680564558823700"
"","1680564560849600"
"I","1680564562871800"
"spotted","1680564564901300"
"her","1680564566913700"
"going","1680564568935400"
"into","1680564570961700"
"a","1680564572980000"
"restaurant.","1680564574990000"
"","1680564577013600"
"She","1680564579027900"
"was","1680564581047500"
"dressed","1680564583079800"
"for","1680564585111800"
"work.","1680564587135200"
"","1680564589159800"
"I","1680564591190100"
"only","1680564593223900"
"like","1680564595239800"
"certain","1680564597265600"
"brands","1680564599279400"
"of","1680564601296100"
"clothes.","1680564603311500"
"","1680564605328300"
"She","1680564607343300"
"opened","1680564609360000"
"up","1680564611376100"
"her","1680564613390200"
"third","1680564615409400"
"bottle","1680564617422300"
"of","1680564619439700"
"vold.","1680564621446000"
"","1680564623455700"
"We","1680564625468300"
"live","1680564627495700"
"live","1680564627550300"
