"word","time"
"","1681061214537600"
"","1681061216573400"
"The","1681061218605600"
"sun","1681061220633600"
"shines","1681061222653100"
"every","1681061224679600"
"day","1681061226701700"
"in","1681061228725800"
"the","1681061230749700"
"summer.","1681061232781700"
"","1681061234813600"
"The","1681061236845600"
"leaves","1681061238877600"
"are","1681061240909500"
"used","1681061242935000"
"as","1681061244957500"
"tea","1681061246981500"
"and","1681061249005600"
"as","1681061251033800"
"a","1681061253049500"
"shance.","1681061255061500"
"","1681061257075600"
"The","1681061259101300"
"doctor","1681061261125600"
"told","1681061263139800"
"me","1681061265165400"
"to","1681061267189800"
"give","1681061269213400"
"up","1681061271241700"
"ratelend.","1681061273256000"
"","1681061275270200"
"The","1681061277283500"
"guests","1681061279309500"
"will","1681061281341300"
"be","1681061283367900"
"here","1681061285382000"
"in","1681061287401700"
"half","1681061289421300"
"an","1681061291453400"
"hour.","1681061293478200"
"","1681061295500000"
"He","1681061297507900"
"ran","1681061299533500"
"down","1681061301554100"
"the","1681061303593700"
"street","1681061305613400"
"and","1681061307644400"
"looked","1681061309674400"
"for","1681061311687900"
"another","1681061313702100"
"taxi.","1681061315717500"
"","1681061317740100"
"Mothers","1681061319767800"
"feed","1681061321781800"
"children","1681061323796100"
"when","1681061325820400"
"they","1681061327852400"
"are","1681061329884400"
"babies.","1681061331911500"
"","1681061333931600"
"I","1681061335948200"
"substitute","1681061337980400"
"honey","1681061340010100"
"for","1681061342023800"
"sugar","1681061344036400"
"whenever","1681061346060400"
"possible.","1681061348069800"
"","1681061350088100"
"The","1681061352107900"
"interview","1681061354124500"
"was","1681061356140500"
"not","1681061358156500"
"very","1681061360167900"
"successful.","1681061362187700"
"","1681061364202000"
"Animal","1681061366220600"
"diseases","1681061368233900"
"that","1681061370244000"
"can","1681061372268600"
"infect","1681061374284700"
"people","1681061376299900"
"may","1681061378316600"
"spread.","1681061380330200"
"","1681061382344600"
"He","1681061384354700"
"ran","1681061386380600"
"into","1681061388396600"
"the","1681061390411800"
"house","1681061392422400"
"and","1681061394440900"
"went","1681061396453900"
"into","1681061398476600"
"his","1681061400488000"
"bedroom.","1681061402508500"
"","1681061404524600"
"Popcorn","1681061406540600"
"and","1681061408550500"
"movies","1681061410568900"
"sounded","1681061412588500"
"like","1681061414602100"
"a","1681061416614900"
"good","1681061418632700"
"way","1681061420652500"
"to","1681061422666800"
"relax.","1681061424692100"
"","1681061426700500"
"Certainly","1681061428724900"
"she","1681061430738900"
"had","1681061432757100"
"been","1681061434771000"
"under","1681061436780500"
"a","1681061438796600"
"lot","1681061440810800"
"of","1681061442828300"
"stress.","1681061444844500"
"","1681061446858800"
"She","1681061448872500"
"had","1681061450887100"
"multiple","1681061452902300"
"jobs","1681061454916600"
"to","1681061456940400"
"make","1681061458956600"
"the","1681061460980900"
"ends","1681061462988600"
"meet.","1681061465003000"
"","1681061467020500"
"The","1681061469032600"
"man’s","1681061471046900"
"head","1681061473059200"
"is","1681061475084400"
"bleeding","1681061477100400"
"because","1681061479114700"
"of","1681061481128900"
"an","1681061483139400"
"accident.","1681061485154500"
"","1681061487180500"
"The","1681061489192400"
"lion","1681061491206600"
"roar","1681061493228600"
"scared","1681061495242800"
"a","1681061497257100"
"lot","1681061499276500"
"of","1681061501287000"
"juider.","1681061503308600"
"","1681061505333100"
"I","1681061507346900"
"got","1681061509356600"
"my","1681061511365000"
"finger","1681061513388600"
"stuck","1681061515413000"
"in","1681061517427000"
"the","1681061519443300"
"door.","1681061521452600"
"","1681061523467500"
"My","1681061525482600"
"mom","1681061527499600"
"is","1681061529514900"
"calling","1681061531531400"
"me","1681061533547600"
"for","1681061535563400"
"lunch.","1681061537571500"
"","1681061539586800"
"My","1681061541611500"
"Airpods","1681061543619600"
"keep","1681061545643400"
"falling","1681061547669100"
"out","1681061549683000"
"of","1681061551699500"
"my","1681061553715000"
"ears.","1681061555723400"
"","1681061557739500"
"The","1681061559750900"
"estate","1681061561763600"
"agent","1681061563777500"
"quickly","1681061565801400"
"marked","1681061567811500"
"out","1681061569832900"
"his","1681061571851600"
"beasist.","1681061573865300"
"","1681061575883500"
"She","1681061577907600"
"had","1681061579923700"
"multiple","1681061581937800"
"jobs","1681061583945700"
"to","1681061585973200"
"make","1681061587985400"
"ends","1681061590001600"
"meet.","1681061592011700"
"","1681061594026000"
"We","1681061596043400"
"both","1681061598053400"
"ate","1681061600075200"
"chocolate","1681061602087000"
"cake","1681061604107600"
"topped","1681061606123500"
"with","1681061608139400"
"fresh","1681061610165300"
"cream.","1681061612181900"
"","1681061614199500"
"It","1681061616213500"
"looks","1681061618231400"
"like","1681061620245900"
"something","1681061622263200"
"out","1681061624277800"
"of","1681061626291200"
"a","1681061628307200"
"horror","1681061630325800"
"protive.","1681061632341800"
"","1681061634355700"
"You","1681061636374000"
"can't","1681061638389800"
"pick","1681061640408000"
"her","1681061642421900"
"eignive.","1681061644438100"
"","1681061646455900"
"My","1681061648469900"
"home","1681061650485900"
"is","1681061652501800"
"bright","1681061654519600"
"nomend.","1681061656533900"
"","1681061658549800"
"","1681061660534000"
